"nuprocesso";"deassunto";"devara";"dtcoleta";"declasse"
"00424779820188178201";DIREITO DO CONSUMIDOR;"24O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00006915620188172290";DIREITO CIVIL;VARA UNICA DA COMARCA DE BODOCO;2020-01-11 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00046190920188172001";DIREITO DO CONSUMIDOR;SECAO A DA 31A VARA CIVEL DA CAPITAL;2020-01-11 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00021083220198178232";DIREITO DO CONSUMIDOR;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00154201820178172001";DIREITO CIVIL;SECAO B DA 6A VARA CIVEL DA CAPITAL;2020-01-11 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00007330320178173370";DIREITO PROCESSUAL CIVIL E DO TRABALHO;"2A VARA CIVEL DA COMARCA DE SERRA TALHADA";2020-01-11 00:00:00;TUTELA ANTECIPADA ANTECEDENTE (12135)
"00004222320198178226";DIREITO CIVIL;"1O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00521302720188178201";DIREITO CIVIL;"11O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00519152720188172001";DIREITO CIVIL;SECAO A DA 26A VARA CIVEL DA CAPITAL;2020-01-11 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00003033020188173010";DIREITO ADMINISTRATIVO E OUTRAS MATERIAS DE DIREITO PUBLICO;VARA UNICA DA COMARCA DE OROCO;2020-01-11 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00486483720198178201";DIREITO CIVIL;"3O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00008900220198178221";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DO CABO DE SANTO AGOSTINHO;2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00003954820188173320";DIREITO DO CONSUMIDOR;VARA UNICA DA COMARCA DE SAO JOSE DA COROA GRANDE;2020-01-11 00:00:00;PETICAO CIVEL (241)
"00004577120198178229";DIREITO DO CONSUMIDOR;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PALMARES;2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00018493720198178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00010664120198178201";DIREITO CIVIL;"13O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00000316420188173130";DIREITO DO CONSUMIDOR;"3A VARA CIVEL DA COMARCA DE PETROLINA";2020-01-11 00:00:00;OUTROS PROCEDIMENTOS DE JURISDICAO VOLUNTARIA (1294)
"00322735820198178201";DIREITO CIVIL;"5O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00133216520188178201";DIREITO CIVIL;"18O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;CUMPRIMENTO DE SENTENCA (156)
"00383851420178178201";DIREITO CIVIL;"3O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00530613020188178201";DIREITO DO CONSUMIDOR;"18O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00370996420188178201";DIREITO PROCESSUAL CIVIL E DO TRABALHO;"24O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00020670220188178232";DIREITO DO CONSUMIDOR;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
